term,coef,se_hc1,se_clustered,raw_gap,raw_se_clustered,model,n,r2_nations_only,r2_controls,r2_full
const,-59.27591784076246,17.109931277342856,18.428610319038714,52.33245846651118,0.7312939058457189,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
adherence,0.21810602375027188,0.019083348460959982,0.0198986518148329,,,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
log_income,10.640524172562468,1.5483134622718235,1.6907100316717472,,,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
pct_ba,-0.525582082171877,0.030889961858235854,0.026401306387168824,,,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
metro,0.684829294711829,0.9709116645720242,0.855439885798566,,,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
rucc,0.4454349881485164,0.23057240654895977,0.21881362840948174,,,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
GREATER APPALACHIA,2.326986158669836,0.7892621119710936,0.7196846008443543,4.849815310728744,0.8713321895330043,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
DEEP SOUTH,1.2350534596316007,0.9682317062122126,1.2711654084940462,4.311738687309079,1.8814710469370644,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
THE MIDLANDS,3.721529595154978,1.0031097094648973,1.314464708624558,4.576305644587694,1.719013512890092,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
THE FAR WEST,0.8384063806257891,0.9104000959318282,0.9769160157046095,3.6943317559160835,1.6852418096559523,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
TIDEWATER,3.6947056507282627,1.0233069196569418,0.9761336111279767,2.0474184217511406,1.1884426607551084,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
EL NORTE,-1.8949347144397797,2.1769880531213186,2.3595175947730733,0.8548192274664279,2.966411689057792,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
THE LEFT COAST,-1.1485750499837728,0.8164559799928762,0.9300340888471057,-3.0394198575212035,1.125855540528861,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
NEW FRANCE,2.3055512901512802,1.292132387631653,0.859335456701087,7.504581606024517,0.7312939058457196,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
PART OF THE SPANISH CARIBBEAN,2.8335464884929333,1.4416898456956053,0.6499472859196863,3.0807091657379044,0.7312939058457189,gfr,3098,0.08477066218713192,0.39363569185473424,0.4327624863473354
const,-3.4709567421795047,0.6941919195840155,0.6530011623871783,1.5338575283012592,0.021850272604105526,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
adherence,0.005679595813166655,0.0010173991645837253,0.00098330629315605,,,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
log_income,0.4709323871768665,0.06134033634999895,0.058600431417905115,,,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
pct_ba,-0.01725905556439927,0.001172511518118027,0.0009746299349949115,,,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
metro,0.0457843445401313,0.06973109316188528,0.07814020510253154,,,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
rucc,0.04094530268839317,0.015246995960797616,0.013306005233228245,,,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
GREATER APPALACHIA,0.13325708650011697,0.027509886998949608,0.022377275549101277,0.15592361390601184,0.02571375139001512,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
DEEP SOUTH,0.06437042678409323,0.03407539539484485,0.04289199690278388,0.11909531367567927,0.05664985265069358,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
THE MIDLANDS,0.11180496191824495,0.039305470328657145,0.0427287646153239,0.11599432608000967,0.04798483015312626,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
THE FAR WEST,0.0032753474165650924,0.03786577806703372,0.03402362086662983,0.12088225995011141,0.06646280653185997,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
TIDEWATER,0.09879722946103273,0.03664658004845617,0.03268252810606409,0.040769839024968904,0.04291823799628569,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
EL NORTE,-0.09312276326299494,0.07963663750288145,0.08767874897798697,0.004232343431438579,0.08983525966173132,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
THE LEFT COAST,-0.11016829674930259,0.029355340060920658,0.028300220239241426,-0.11575116166520663,0.027216336996727344,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
NEW FRANCE,0.10259698811918,0.044372219710889914,0.03207949807949842,0.1932689643676451,0.021850272604105526,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
PART OF THE SPANISH CARIBBEAN,0.10098069526334322,0.04895481130904527,0.023102676238026417,0.10908111172652604,0.021850272604105526,tfr_2021_2024,566,0.12247191004733593,0.35331530651455323,0.4632049644585159
